;nomen;revenu;agglo9;loc_log;stat_log;nb_voit;nb_tv;jardin;micro_onde;frigo;congelo;four;soins;situ_fin;situ_alim;manq_alim;viande;jard_potager;jard_verger;jard_pelouse;jard_poules;nbpers;sexe_chef;age_chefq;nbadu;nbenf;agglo5;ech;cspc;reg;pcschef;up;jard_rien;sitalim_regime;sitalim_temps;sitalim_argent;sitalim_depl;sitalim_rhf;sitalim_place;sitalim_autre;chef_diplo;chef_situprof;chef_statempl;chef_typempl;chef_atrav;chef_nbsal;tage_chef;pond_men;selcuileg;selcuivp;selcuivps;selcuioeuf;saliere;selcrud;typesel;chori;chprix;chlabel;chsani;chhabit;chmarq;chpres;chprod;chgout;chetiq;chnut;claim;inscuisson;insconserv;stokcons;micronde;consopc;dlcoeuf;dlcjamb;dlcsaum;dlcfrom;dlcpl;dlcyao;dlclaif;dlccrem;dlcvian;dlcpcsv;csvjamb;csvcharc;csvpc;csventrf;csvfromc;csvvian;nreprill;nreppate;nrepjamb;nrepsaum;nrepsauc;temp;thermo;tempfrig;alimcru;reste;puits;traiteau;traiteauch;traitcirc;traitusag;systion;systcharb;autsyst;fqtrait;entrprof;entrindi;chfacil;chnouv;chpub;nrchoix;traitnsp;nrtrait;systmemb;systmeca;systuv;systaut;systnsp;nrsyst;entrnsp
1571;134036;3;1;3;2;2;3;2;1;1;1;1;2;2;1;4;1;;;;;5;1;42;2;3;1;1;9.0;1;4.0;41091;;;;;;;;;7;1;1.0;2.0;;;4;0.1465226;1.0;1.0;3.0;1.0;3.0;3.0;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;4.0;2.0;1.0;2.0;1.0;1.0;1.0;4.0;1.0;4.0;1.0;1.0;2.0;3.0;6.0;2.0;3.0;2.0;5.0;5.0;2.0;1.0;5.0;6.0;1.0;;1.0;2.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1572;134037;6;4;1;3;1;3;2;1;1;1;1;2;4;1;4;1;;;;;1;2;37;1;0;2;1;9.0;1;4.0;411010;;;;;;;;;11;1;3.0;2.0;;;4;0.3546993;1.0;1.0;1.0;1.0;4.0;4.0;3.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;9.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;7.0;1.0;7.0;1.0;7.0;1.0;1.0;7.0;2.0;2.0;6.0;3.0;6.0;2.0;5.0;5.0;2.0;5.0;2.0;4.0;1.0;;1.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1658;170114;15;5;1;2;1;2;2;1;1;1;1;2;2;1;4;1;;;;;2;1;79;2;0;3;1;16.0;1;7.0;412009;;;;;;;;;12;4;6.0;2.0;1.0;6.0;7;0.3158541;2.0;2.0;1.0;1.0;4.0;3.0;1.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;3.0;2.0;2.0;7.0;1.0;2.0;1.0;2.0;2.0;7.0;7.0;7.0;2.0;2.0;6.0;6.0;3.0;2.0;3.0;5.0;5.0;5.0;5.0;99.0;9.0;;2.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1664;170153;7;3;2;2;1;3;1;1;1;1;1;2;4;1;4;1;1.0;2.0;2.0;2.0;1;2;78;1;0;2;1;16.0;1;7.0;411045;2.0;;;;;;;;2;4;2.0;2.0;1.0;;7;0.3644255;1.0;1.0;1.0;1.0;4.0;4.0;1.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;9.0;2.0;2.0;2.0;3.0;4.0;1.0;1.0;9.0;1.0;1.0;1.0;1.0;9.0;9.0;1.0;2.0;2.0;6.0;6.0;3.0;1.0;4.0;5.0;2.0;5.0;3.0;16.0;1.0;;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1676;170217;1;5;2;2;1;2;1;1;1;1;1;2;4;1;4;1;1.0;1.0;1.0;2.0;1;2;77;1;0;3;1;16.0;1;7.0;412009;2.0;;;;;;;;2;4;4.0;2.0;1.0;;7;0.5862228;4.0;4.0;4.0;4.0;4.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;4.0;3.0;2.0;2.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;5.0;5.0;3.0;3.0;5.0;2.0;9.0;;1.0;4.0;3.0;1.0;2.0;1.0;2.0;2.0;2.0;;1.0;2.0;1.0;2.0;2.0;2.0;;2.0;;2.0;2.0;2.0;2.0;1.0;;2.0
1693;170328;10;6;2;2;2;3;1;1;1;1;1;2;2;1;4;1;1.0;2.0;1.0;2.0;2;1;75;2;0;3;1;16.0;1;7.0;412013;2.0;;;;;;;;6;4;2.0;2.0;1.0;;7;0.3158076;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;3.0;3.0;6.0;7.0;2.0;4.0;7.0;5.0;3.0;7.0;2.0;7.0;2.0;2.0;6.0;6.0;4.0;2.0;5.0;5.0;5.0;5.0;5.0;3.0;1.0;;3.0;2.0;3.0;3.0;;;;;;;;;;2.0;1.0;2.0;;;;;;;;;;
1708;170380;2;7;1;4;2;2;2;1;1;1;1;1;3;2;4;1;;;;;2;1;55;2;0;4;1;11.0;1;6.0;413003;;1.0;2.0;1.0;2.0;2.0;2.0;2.0;7;2;2.0;1.0;1.0;;5;0.2882215;1.0;3.0;4.0;1.0;4.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;4.0;3.0;3.0;4.0;3.0;2.0;2.0;2.0;4.0;2.0;7.0;2.0;2.0;2.0;2.0;1.0;1.0;3.0;2.0;5.0;5.0;1.0;1.0;2.0;16.0;1.0;;1.0;2.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1744;170571;7;6;2;2;2;4;1;2;1;1;1;2;2;1;4;1;1.0;1.0;1.0;1.0;2;1;71;2;0;3;1;17.0;1;7.0;412013;2.0;;;;;;;;6;5;7.0;2.0;1.0;0.0;6;0.3158076;1.0;1.0;1.0;4.0;1.0;1.0;3.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;5.0;3.0;9.0;1.0;9.0;1.0;7.0;3.0;1.0;9.0;2.0;7.0;2.0;3.0;6.0;6.0;3.0;2.0;3.0;5.0;2.0;5.0;5.0;4.0;9.0;;3.0;2.0;1.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1746;170582;14;3;1;4;1;2;1;1;1;1;1;2;4;1;4;1;1.0;1.0;1.0;2.0;2;1;69;2;0;2;1;16.0;1;7.0;411045;2.0;;;;;;;;7;4;3.0;2.0;1.0;;6;0.8120181;1.0;1.0;3.0;1.0;3.0;3.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;3.0;2.0;2.0;2.0;5.0;16.0;1.0;;1.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1778;170759;11;6;1;2;2;3;2;1;1;2;1;2;2;1;4;1;;;;;2;1;66;2;0;3;1;16.0;1;7.0;412013;;;;;;;;;12;4;2.0;2.0;1.0;;6;0.3761727;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;6.0;6.0;6.0;6.0;3.0;1.0;5.0;5.0;2.0;2.0;1.0;4.0;2.0;4.0;2.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
